"Loss_Pct","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
0.2,18,20795,"SUCCESS",15,4842,NA
0.2,19,20796,"SUCCESS",15,4826,NA
0.2,2,20779,"SUCCESS",15,4847,NA
0.2,20,20797,"SUCCESS",15,4841,NA
0.2,21,20798,"SUCCESS",15,4833,NA
0.2,22,20799,"SUCCESS",15,4837,NA
0.2,23,20800,"SUCCESS",15,4839,NA
0.2,24,20801,"SUCCESS",16,4864,NA
0.2,25,20802,"SUCCESS",15,4843,NA
0.2,26,20803,"SUCCESS",15,4826,NA
0.2,27,20804,"SUCCESS",15,4859,NA
0.2,28,20805,"SUCCESS",15,4822,NA
0.2,29,20806,"SUCCESS",15,4854,NA
0.2,3,20780,"SUCCESS",15,4843,NA
0.2,30,20807,"SUCCESS",15,4829,NA
0.2,31,20808,"SUCCESS",15,4810,NA
0.2,32,20809,"SUCCESS",15,4828,NA
0.2,33,20810,"SUCCESS",15,4835,NA
0.2,34,20811,"SUCCESS",15,4815,NA
0.2,35,20812,"SUCCESS",15,4840,NA
0.2,36,20813,"SUCCESS",15,4825,NA
0.2,37,20814,"SUCCESS",15,4821,NA
0.2,38,20815,"SUCCESS",15,4837,NA
0.2,39,20816,"SUCCESS",15,4833,NA
0.2,4,20781,"SUCCESS",15,4835,NA
0.2,40,20817,"SUCCESS",15,4832,NA
0.2,41,20818,"SUCCESS",15,4860,NA
0.2,42,20819,"SUCCESS",15,4840,NA
0.2,43,20820,"SUCCESS",15,4860,NA
0.2,44,20821,"SUCCESS",15,4837,NA
0.2,45,20822,"SUCCESS",15,4851,NA
0.2,46,20823,"SUCCESS",15,4816,NA
0.2,47,20824,"SUCCESS",15,4853,NA
0.2,48,20825,"SUCCESS",15,4839,NA
0.2,49,20826,"SUCCESS",15,4836,NA
0.2,5,20782,"SUCCESS",15,4821,NA
0.2,50,20827,"SUCCESS",15,4818,NA
0.2,51,20828,"SUCCESS",15,4845,NA
0.2,52,20829,"SUCCESS",15,4836,NA
0.2,53,20830,"SUCCESS",15,4856,NA
0.2,54,20831,"SUCCESS",15,4838,NA
0.2,55,20832,"SUCCESS",15,4839,NA
0.2,56,20833,"SUCCESS",15,4850,NA
0.2,57,20834,"SUCCESS",15,4838,NA
0.2,58,20835,"SUCCESS",15,4839,NA
0.2,59,20836,"SUCCESS",15,4827,NA
0.2,6,20783,"SUCCESS",15,4842,NA
0.2,60,20837,"SUCCESS",15,4852,NA
0.2,61,20838,"SUCCESS",15,4844,NA
0.2,62,20839,"SUCCESS",15,4841,NA
0.2,63,20840,"SUCCESS",15,4833,NA
0.2,64,20841,"SUCCESS",15,4829,NA
0.2,65,20842,"SUCCESS",15,4832,NA
0.2,66,20843,"SUCCESS",15,4844,NA
0.2,67,20844,"SUCCESS",15,4843,NA
0.2,68,20845,"SUCCESS",15,4835,NA
0.2,69,20846,"SUCCESS",15,4842,NA
0.2,7,20784,"SUCCESS",15,4830,NA
0.2,70,20847,"SUCCESS",15,4800,NA
0.2,71,20848,"SUCCESS",15,4843,NA
0.2,72,20849,"SUCCESS",15,4859,NA
0.2,73,20850,"SUCCESS",15,4824,NA
0.2,74,20851,"SUCCESS",15,4839,NA
0.2,75,21629,"SUCCESS",15,4851,NA
0.2,76,20853,"SUCCESS",15,4847,NA
0.2,77,20854,"SUCCESS",15,4839,NA
0.2,78,20855,"SUCCESS",15,4831,NA
0.2,79,20856,"SUCCESS",15,4827,NA
0.2,8,20785,"SUCCESS",15,4823,NA
0.2,80,20857,"SUCCESS",15,4823,NA
0.2,81,20858,"SUCCESS",15,4823,NA
0.2,82,20859,"SUCCESS",15,4844,NA
0.2,83,20860,"SUCCESS",15,4831,NA
0.2,84,20861,"SUCCESS",15,4832,NA
0.2,85,20862,"SUCCESS",15,4842,NA
0.2,86,20863,"SUCCESS",15,4826,NA
0.2,87,20864,"SUCCESS",15,4837,NA
0.2,88,20865,"SUCCESS",16,4858,NA
0.2,89,20866,"SUCCESS",15,4827,NA
0.2,9,20786,"SUCCESS",15,4851,NA
0.2,90,20867,"SUCCESS",15,4835,NA
0.2,91,20868,"SUCCESS",15,4850,NA
0.2,92,20869,"SUCCESS",15,4855,NA
0.2,93,20870,"SUCCESS",15,4806,NA
0.2,94,20871,"SUCCESS",15,4862,NA
0.2,95,20872,"SUCCESS",15,4848,NA
0.2,96,20873,"SUCCESS",15,4829,NA
0.2,97,20874,"SUCCESS",15,4836,NA
0.2,98,20875,"SUCCESS",15,4829,NA
0.2,99,20876,"SUCCESS",15,4834,NA
0.3,1,30778,"SUCCESS",15,4855,NA
0.3,10,30787,"SUCCESS",15,4842,NA
0.3,100,30877,"SUCCESS",15,4857,NA
0.3,11,30788,"SUCCESS",15,4835,NA
0.3,12,30789,"SUCCESS",15,4860,NA
0.3,13,30790,"SUCCESS",15,4838,NA
0.3,14,30791,"SUCCESS",15,4819,NA
0.3,15,30792,"SUCCESS",15,4837,NA
0.3,16,30793,"SUCCESS",15,4828,NA
0.3,17,30794,"SUCCESS",15,4830,NA
0.3,18,30795,"SUCCESS",15,4830,NA
0.3,19,30796,"SUCCESS",15,4848,NA
0.3,2,30779,"SUCCESS",15,4825,NA
0.3,20,30797,"SUCCESS",15,4858,NA
0.3,21,30798,"SUCCESS",15,4840,NA
0.3,22,30799,"SUCCESS",15,4835,NA
0.3,23,30800,"SUCCESS",15,4858,NA
0.3,24,30801,"SUCCESS",15,4852,NA
0.3,25,30802,"SUCCESS",15,4837,NA
0.3,26,30803,"SUCCESS",15,4831,NA
0.3,27,30804,"SUCCESS",15,4833,NA
0.3,28,30805,"SUCCESS",15,4856,NA
0.3,29,30806,"SUCCESS",15,4815,NA
0.3,3,30780,"SUCCESS",15,4855,NA
0.3,30,30807,"SUCCESS",15,4830,NA
0.3,31,30808,"SUCCESS",15,4824,NA
0.3,32,30809,"SUCCESS",15,4840,NA
0.3,33,30810,"SUCCESS",15,4829,NA
0.3,34,30811,"SUCCESS",15,4819,NA
0.3,35,30812,"SUCCESS",15,4844,NA
0.3,36,30813,"SUCCESS",15,4837,NA
0.3,37,30814,"SUCCESS",15,4833,NA
0.3,38,30815,"SUCCESS",15,4851,NA
0.3,39,30816,"SUCCESS",15,4844,NA
0.3,4,30781,"SUCCESS",15,4848,NA
0.3,40,30817,"SUCCESS",15,4853,NA
