"Loss_Pct","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
0.2,14,2020791,"SUCCESS",15,4648,NA
0.2,15,2020792,"SUCCESS",15,4671,NA
0.2,16,2020793,"SUCCESS",15,4688,NA
0.2,17,2020794,"SUCCESS",15,4681,NA
0.2,18,2020795,"SUCCESS",15,4675,NA
0.2,19,2020796,"SUCCESS",15,4645,NA
0.2,2,2020779,"SUCCESS",15,4673,NA
0.2,20,2020797,"SUCCESS",15,4688,NA
0.2,21,2020798,"SUCCESS",15,4662,NA
0.2,22,2020799,"SUCCESS",15,4674,NA
0.2,23,2020800,"SUCCESS",15,4676,NA
0.2,24,2020801,"SUCCESS",15,4684,NA
0.2,25,2020802,"SUCCESS",15,4676,NA
0.2,26,2020803,"SUCCESS",15,4663,NA
0.2,27,2020804,"SUCCESS",15,4693,NA
0.2,28,2020805,"SUCCESS",15,4671,NA
0.2,29,2020806,"SUCCESS",15,4696,NA
0.2,3,2020780,"SUCCESS",15,4671,NA
0.2,30,2020807,"SUCCESS",15,4669,NA
0.2,31,2020808,"SUCCESS",15,4660,NA
0.2,32,2020809,"SUCCESS",15,4667,NA
0.2,33,2020810,"SUCCESS",15,4688,NA
0.2,34,2020811,"SUCCESS",15,4682,NA
0.2,35,2020812,"SUCCESS",15,4691,NA
0.2,36,2020813,"SUCCESS",15,4684,NA
0.2,37,2020814,"SUCCESS",15,4702,NA
0.2,38,2020815,"SUCCESS",15,4669,NA
0.2,39,2020816,"SUCCESS",15,4667,NA
0.2,4,2020781,"SUCCESS",15,4671,NA
0.2,40,2020817,"SUCCESS",15,4724,NA
0.2,41,2020818,"SUCCESS",15,4654,NA
0.2,42,2020819,"SUCCESS",15,4686,NA
0.2,43,2020820,"SUCCESS",15,4680,NA
0.2,44,2020821,"SUCCESS",15,4680,NA
0.2,45,2020822,"SUCCESS",15,4671,NA
0.2,46,2020823,"SUCCESS",15,4656,NA
0.2,47,2020824,"SUCCESS",15,4675,NA
0.2,48,2020825,"SUCCESS",15,4673,NA
0.2,49,2020826,"SUCCESS",15,4661,NA
0.2,5,2020782,"SUCCESS",15,4707,NA
0.2,50,2020827,"SUCCESS",15,4660,NA
0.2,51,2020828,"SUCCESS",15,4673,NA
0.2,52,2020829,"SUCCESS",15,4683,NA
0.2,53,2020830,"SUCCESS",15,4659,NA
0.2,54,2020831,"SUCCESS",15,4683,NA
0.2,55,2020832,"SUCCESS",15,4657,NA
0.2,56,2020833,"SUCCESS",15,4665,NA
0.2,57,2020834,"SUCCESS",15,4645,NA
0.2,58,2020835,"SUCCESS",15,4659,NA
0.2,59,2020836,"SUCCESS",15,4685,NA
