"Fractionation_Loss","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
0.2,18,920795,"SUCCESS",15,4748,NA
0.2,19,920796,"SUCCESS",15,4699,NA
0.2,2,920779,"SUCCESS",16,4763,NA
0.2,20,920797,"SUCCESS",15,4725,NA
0.2,21,920798,"SUCCESS",15,4682,NA
0.2,22,920799,"SUCCESS",15,4671,NA
0.2,23,920800,"SUCCESS",15,4708,NA
0.2,24,920801,"SUCCESS",15,4729,NA
0.2,25,920802,"SUCCESS",15,4698,NA
0.2,26,920803,"SUCCESS",15,4675,NA
0.2,27,920804,"SUCCESS",15,4744,NA
0.2,28,920805,"SUCCESS",16,4706,NA
0.2,29,920806,"SUCCESS",15,4734,NA
0.2,3,920780,"SUCCESS",15,4751,NA
0.2,30,920807,"SUCCESS",15,4742,NA
0.2,31,920808,"SUCCESS",15,4729,NA
0.2,32,920809,"SUCCESS",15,4738,NA
0.2,33,920810,"SUCCESS",15,4756,NA
0.2,34,920811,"SUCCESS",15,4696,NA
0.2,35,920812,"SUCCESS",15,4745,NA
0.2,36,920813,"SUCCESS",15,4735,NA
0.2,37,920814,"SUCCESS",15,4744,NA
0.2,38,920815,"SUCCESS",15,4750,NA
0.2,39,920816,"SUCCESS",15,4655,NA
0.2,4,920781,"SUCCESS",15,4704,NA
0.2,40,920817,"SUCCESS",15,4736,NA
0.2,41,920818,"SUCCESS",15,4740,NA
0.2,42,920819,"SUCCESS",15,4647,NA
0.2,43,920820,"SUCCESS",15,4734,NA
0.2,44,920821,"SUCCESS",15,4696,NA
0.2,45,920822,"SUCCESS",15,4706,NA
0.2,46,920823,"SUCCESS",15,4744,NA
0.2,47,920824,"SUCCESS",15,4746,NA
0.2,48,920825,"SUCCESS",15,4762,NA
0.2,49,920826,"SUCCESS",15,4735,NA
0.2,5,920782,"SUCCESS",15,4737,NA
0.2,50,920827,"SUCCESS",15,4750,NA
0.2,51,920828,"SUCCESS",15,4747,NA
0.2,52,920829,"SUCCESS",15,4722,NA
0.2,53,920830,"SUCCESS",15,4704,NA
0.2,54,920831,"SUCCESS",15,4717,NA
0.2,55,920832,"SUCCESS",15,4714,NA
0.2,56,920833,"SUCCESS",15,4799,NA
0.2,57,920834,"SUCCESS",15,4685,NA
0.2,58,920835,"SUCCESS",15,4693,NA
0.2,59,920836,"SUCCESS",15,4716,NA
0.2,6,920783,"SUCCESS",15,4717,NA
0.2,60,920837,"SUCCESS",15,4666,NA
0.2,61,920838,"SUCCESS",15,4705,NA
0.2,62,920839,"SUCCESS",15,4738,NA
0.2,63,920840,"SUCCESS",15,4744,NA
0.2,64,920841,"SUCCESS",15,4720,NA
0.2,65,920842,"SUCCESS",15,4745,NA
0.2,66,920843,"SUCCESS",15,4708,NA
0.2,67,920844,"SUCCESS",15,4728,NA
0.2,68,920845,"SUCCESS",15,4728,NA
0.2,69,920846,"SUCCESS",15,4732,NA
0.2,7,920784,"SUCCESS",15,4711,NA
0.2,70,920847,"SUCCESS",15,4712,NA
0.2,71,920848,"SUCCESS",15,4735,NA
0.2,72,920849,"SUCCESS",15,4688,NA
0.2,73,920850,"SUCCESS",15,4681,NA
0.2,74,920851,"SUCCESS",15,4693,NA
0.2,75,920852,"SUCCESS",15,4719,NA
0.2,76,920853,"SUCCESS",15,4692,NA
0.2,77,920854,"SUCCESS",15,4678,NA
0.2,78,920855,"SUCCESS",15,4664,NA
0.2,79,920856,"SUCCESS",15,4743,NA
0.2,8,920785,"SUCCESS",15,4745,NA
0.2,80,920857,"SUCCESS",16,4664,NA
0.2,81,920858,"SUCCESS",15,4715,NA
0.2,82,920859,"SUCCESS",15,4742,NA
0.2,83,920860,"SUCCESS",16,4695,NA
0.2,84,920861,"SUCCESS",15,4716,NA
0.2,85,920862,"SUCCESS",16,4671,NA
0.2,86,920863,"SUCCESS",15,4734,NA
0.2,87,920864,"SUCCESS",15,4672,NA
0.2,88,920865,"SUCCESS",15,4733,NA
0.2,89,920866,"SUCCESS",15,4741,NA
0.2,9,920786,"SUCCESS",15,4759,NA
0.2,90,920867,"SUCCESS",15,4748,NA
0.2,91,920868,"SUCCESS",15,4704,NA
0.2,92,920869,"SUCCESS",15,4744,NA
0.2,93,920870,"SUCCESS",15,4758,NA
0.2,94,920871,"SUCCESS",15,4732,NA
0.2,95,920872,"SUCCESS",15,4693,NA
0.2,96,920873,"SUCCESS",15,4688,NA
0.2,97,920874,"SUCCESS",15,4704,NA
0.2,98,920875,"SUCCESS",15,4751,NA
0.2,99,920876,"SUCCESS",15,4711,NA
0.3,1,930778,"SUCCESS",15,4778,NA
0.3,10,930787,"SUCCESS",15,4723,NA
0.3,100,930877,"SUCCESS",15,4721,NA
0.3,11,930788,"SUCCESS",15,4768,NA
0.3,12,930789,"SUCCESS",15,4715,NA
0.3,13,930790,"SUCCESS",15,4735,NA
0.3,14,930791,"SUCCESS",16,4679,NA
0.3,15,930792,"SUCCESS",15,4710,NA
0.3,16,930793,"SUCCESS",15,4755,NA
0.3,17,930794,"SUCCESS",15,4733,NA
0.3,18,930795,"SUCCESS",15,4772,NA
0.3,19,930796,"SUCCESS",15,4753,NA
0.3,2,930779,"SUCCESS",15,4726,NA
0.3,20,930797,"SUCCESS",15,4715,NA
0.3,21,930798,"SUCCESS",15,4720,NA
0.3,22,930799,"SUCCESS",15,4723,NA
0.3,23,930800,"SUCCESS",17,4690,NA
0.3,24,930801,"SUCCESS",15,4721,NA
0.3,25,930802,"SUCCESS",15,4738,NA
0.3,26,930803,"SUCCESS",15,4732,NA
0.3,27,930804,"SUCCESS",15,4705,NA
0.3,28,930805,"SUCCESS",15,4703,NA
0.3,29,930806,"SUCCESS",15,4743,NA
0.3,3,930780,"SUCCESS",15,4710,NA
0.3,30,930807,"SUCCESS",15,4709,NA
0.3,31,930808,"SUCCESS",15,4681,NA
0.3,32,930809,"SUCCESS",16,4750,NA
0.3,33,930810,"SUCCESS",15,4693,NA
0.3,34,930811,"SUCCESS",15,4721,NA
0.3,35,930812,"SUCCESS",15,4682,NA
0.3,36,930813,"SUCCESS",15,4718,NA
0.3,37,930814,"SUCCESS",15,4738,NA
0.3,38,930815,"SUCCESS",15,4747,NA
0.3,39,930816,"SUCCESS",15,4689,NA
0.3,4,930781,"SUCCESS",15,4723,NA
0.3,40,930817,"SUCCESS",16,4724,NA
0.3,41,930818,"SUCCESS",15,4714,NA
0.3,42,930819,"SUCCESS",15,4693,NA
0.3,43,930820,"SUCCESS",15,4740,NA
0.3,44,930821,"SUCCESS",15,4735,NA
0.3,45,930822,"SUCCESS",15,4705,NA
0.3,46,930823,"SUCCESS",15,4718,NA
0.3,47,930824,"SUCCESS",15,4705,NA
0.3,48,930825,"SUCCESS",15,4721,NA
0.3,49,930826,"SUCCESS",15,4700,NA
0.3,5,930782,"SUCCESS",17,4749,NA
0.3,50,930827,"SUCCESS",15,4734,NA
0.3,51,930828,"SUCCESS",15,4737,NA
0.3,52,930829,"SUCCESS",15,4732,NA
0.3,53,930830,"SUCCESS",15,4704,NA
0.3,54,930831,"SUCCESS",15,4715,NA
0.3,55,930832,"SUCCESS",15,4740,NA
0.3,56,930833,"SUCCESS",15,4685,NA
0.3,57,930834,"SUCCESS",15,4709,NA
0.3,58,930835,"SUCCESS",15,4695,NA
0.3,59,930836,"SUCCESS",15,4733,NA
0.3,6,930783,"SUCCESS",16,4749,NA
0.3,60,930837,"SUCCESS",15,4708,NA
0.3,61,930838,"SUCCESS",15,4722,NA
0.3,62,930839,"SUCCESS",15,4727,NA
0.3,63,930840,"SUCCESS",15,4678,NA
0.3,64,930841,"SUCCESS",15,4737,NA
0.3,65,930842,"SUCCESS",15,4720,NA
0.3,66,930843,"SUCCESS",15,4717,NA
0.3,67,930844,"SUCCESS",15,4722,NA
0.3,68,930845,"SUCCESS",15,4757,NA
0.3,69,930846,"SUCCESS",15,4703,NA
0.3,7,930784,"SUCCESS",15,4744,NA
0.3,70,930847,"SUCCESS",15,4750,NA
0.3,71,930848,"SUCCESS",16,4730,NA
0.3,72,930849,"SUCCESS",15,4715,NA
0.3,73,930850,"SUCCESS",15,4736,NA
0.3,74,930851,"SUCCESS",15,4770,NA
0.3,75,930852,"SUCCESS",15,4773,NA
0.3,76,930853,"SUCCESS",16,4706,NA
0.3,77,930854,"SUCCESS",15,4684,NA
0.3,78,930855,"SUCCESS",15,4727,NA
0.3,79,930856,"SUCCESS",15,4752,NA
0.3,8,930785,"SUCCESS",15,4655,NA
0.3,80,930857,"SUCCESS",15,4751,NA
0.3,81,930858,"SUCCESS",15,4751,NA
0.3,82,930859,"SUCCESS",15,4734,NA
0.3,83,930860,"SUCCESS",15,4724,NA
0.3,84,930861,"SUCCESS",15,4737,NA
0.3,85,930862,"SUCCESS",15,4692,NA
0.3,86,930863,"SUCCESS",15,4741,NA
0.3,87,930864,"SUCCESS",16,4646,NA
0.3,88,930865,"SUCCESS",15,4686,NA
0.3,89,930866,"SUCCESS",16,4737,NA
0.3,9,930786,"SUCCESS",15,4729,NA
0.3,90,930867,"SUCCESS",15,4720,NA
0.3,91,930868,"SUCCESS",15,4719,NA
0.3,92,930869,"SUCCESS",15,4727,NA
0.3,93,930870,"SUCCESS",16,4701,NA
0.3,94,930871,"SUCCESS",15,4690,NA
0.3,95,930872,"SUCCESS",15,4734,NA
0.3,96,930873,"SUCCESS",15,4740,NA
0.3,97,930874,"SUCCESS",15,4722,NA
0.3,98,930875,"SUCCESS",15,4743,NA
0.3,99,930876,"SUCCESS",15,4703,NA
0.4,1,940778,"SUCCESS",17,4645,NA
0.4,10,940787,"SUCCESS",15,4639,NA
0.4,100,940877,"SUCCESS",15,4656,NA
0.4,11,940788,"SUCCESS",15,4600,NA
0.4,12,940789,"SUCCESS",15,4691,NA
0.4,13,940790,"SUCCESS",15,4667,NA
0.4,14,940791,"SUCCESS",16,4683,NA
0.4,15,940792,"SUCCESS",15,4661,NA
0.4,16,940793,"SUCCESS",16,4632,NA
0.4,17,940794,"SUCCESS",16,4653,NA
0.4,18,940795,"SUCCESS",15,4629,NA
0.4,19,940796,"SUCCESS",15,4664,NA
0.4,2,940779,"SUCCESS",15,4639,NA
0.4,20,940797,"SUCCESS",16,4677,NA
0.4,21,940798,"SUCCESS",15,4638,NA
0.4,22,940799,"SUCCESS",16,4309,NA
0.4,23,940800,"SUCCESS",15,4673,NA
0.4,24,940801,"SUCCESS",15,4630,NA
0.4,25,940802,"SUCCESS",15,4673,NA
0.4,26,940803,"SUCCESS",15,4655,NA
0.4,27,940804,"SUCCESS",15,4650,NA
0.4,28,940805,"SUCCESS",16,4614,NA
0.4,29,940806,"SUCCESS",18,4670,NA
0.4,3,940780,"SUCCESS",17,4293,NA
0.4,30,940807,"SUCCESS",17,4668,NA
0.4,31,940808,"SUCCESS",15,4652,NA
0.4,32,940809,"SUCCESS",15,4705,NA
0.4,33,940810,"SUCCESS",15,4658,NA
0.4,34,940811,"SUCCESS",15,4652,NA
0.4,35,940812,"SUCCESS",15,4658,NA
0.4,36,940813,"SUCCESS",16,4288,NA
0.4,37,940814,"SUCCESS",16,4644,NA
0.4,38,940815,"SUCCESS",15,4652,NA
0.4,39,940816,"SUCCESS",15,4624,NA
0.4,4,940781,"SUCCESS",15,4623,NA
0.4,40,940817,"SUCCESS",15,4699,NA
0.4,41,940818,"SUCCESS",15,4683,NA
0.4,42,940819,"SUCCESS",15,4653,NA
0.4,43,940820,"SUCCESS",16,4685,NA
0.4,44,940821,"SUCCESS",17,4615,NA
0.4,45,940822,"SUCCESS",15,4638,NA
0.4,46,940823,"SUCCESS",15,4677,NA
0.4,47,940824,"SUCCESS",17,4663,NA
0.4,48,940825,"SUCCESS",15,4678,NA
0.4,49,940826,"SUCCESS",15,4645,NA
0.4,5,940782,"SUCCESS",16,4644,NA
0.4,50,940827,"SUCCESS",15,4681,NA
0.4,51,940828,"SUCCESS",15,4723,NA
0.4,52,940829,"SUCCESS",15,4676,NA
0.4,53,940830,"SUCCESS",15,4666,NA
0.4,54,940831,"SUCCESS",16,4627,NA
0.4,55,940832,"SUCCESS",15,4642,NA
0.4,56,940833,"SUCCESS",15,4670,NA
0.4,57,940834,"SUCCESS",15,4657,NA
0.4,58,940835,"SUCCESS",15,4674,NA
0.4,59,940836,"SUCCESS",15,4644,NA
0.4,6,940783,"SUCCESS",16,4634,NA
0.4,60,940837,"SUCCESS",16,4614,NA
0.4,61,940838,"SUCCESS",15,4674,NA
0.4,62,940839,"SUCCESS",16,4670,NA
0.4,63,940840,"SUCCESS",15,4665,NA
0.4,64,940841,"SUCCESS",15,4636,NA
0.4,65,940842,"SUCCESS",15,4652,NA
0.4,66,940843,"SUCCESS",17,4669,NA
0.4,67,940844,"SUCCESS",17,4663,NA
0.4,68,940845,"SUCCESS",15,4619,NA
0.4,69,940846,"SUCCESS",15,4678,NA
0.4,7,940784,"SUCCESS",15,4672,NA
0.4,70,940847,"SUCCESS",15,4667,NA
0.4,71,940848,"SUCCESS",15,4646,NA
0.4,72,940849,"SUCCESS",15,4653,NA
0.4,73,940850,"SUCCESS",16,4684,NA
0.4,74,940851,"SUCCESS",15,4671,NA
0.4,75,940852,"SUCCESS",15,4649,NA
0.4,76,940853,"SUCCESS",15,4293,NA
0.4,77,940854,"SUCCESS",16,4295,NA
0.4,78,940855,"SUCCESS",16,4657,NA
0.4,79,940856,"SUCCESS",16,4660,NA
0.4,8,940785,"SUCCESS",16,4635,NA
0.4,80,940857,"SUCCESS",15,4638,NA
0.4,81,940858,"SUCCESS",15,4679,NA
0.4,82,940859,"SUCCESS",16,4655,NA
0.4,83,940860,"SUCCESS",15,4672,NA
0.4,84,940861,"SUCCESS",17,4631,NA
0.4,85,940862,"SUCCESS",15,4624,NA
0.4,86,940863,"SUCCESS",15,4663,NA
0.4,87,940864,"SUCCESS",15,4638,NA
0.4,88,940865,"SUCCESS",15,4648,NA
0.4,89,940866,"SUCCESS",15,4669,NA
0.4,9,940786,"SUCCESS",17,4697,NA
0.4,90,940867,"SUCCESS",16,4666,NA
0.4,91,940868,"SUCCESS",15,4671,NA
0.4,92,940869,"SUCCESS",15,4644,NA
0.4,93,940870,"SUCCESS",16,4647,NA
0.4,94,940871,"SUCCESS",17,4675,NA
0.4,95,940872,"SUCCESS",15,4689,NA
0.4,96,940873,"SUCCESS",15,4615,NA
0.4,97,940874,"SUCCESS",15,4629,NA
0.4,98,940875,"SUCCESS",16,4687,NA
0.4,99,940876,"SUCCESS",16,4630,NA
0.5,1,950778,"SUCCESS",19,4159,NA
0.5,10,950787,"SUCCESS",16,4156,NA
0.5,100,950877,"SUCCESS",16,4079,NA
0.5,11,950788,"SUCCESS",15,4135,NA
0.5,12,950789,"SUCCESS",19,4120,NA
0.5,13,950790,"SUCCESS",17,4060,NA
0.5,14,950791,"SUCCESS",17,4126,NA
0.5,15,950792,"SUCCESS",17,4165,NA
0.5,16,950793,"SUCCESS",17,4100,NA
0.5,17,950794,"SUCCESS",17,4101,NA
0.5,18,950795,"SUCCESS",16,4085,NA
0.5,19,950796,"SUCCESS",18,4130,NA
0.5,2,950779,"SUCCESS",19,4073,NA
0.5,20,950797,"SUCCESS",19,4135,NA
0.5,21,950798,"SUCCESS",20,4082,NA
0.5,22,950799,"SUCCESS",17,4077,NA
0.5,23,950800,"SUCCESS",16,4047,NA
0.5,24,950801,"SUCCESS",18,4101,NA
0.5,25,950802,"SUCCESS",18,4106,NA
0.5,26,950803,"SUCCESS",18,4081,NA
0.5,27,950804,"SUCCESS",18,4111,NA
0.5,28,950805,"SUCCESS",16,4063,NA
0.5,29,950806,"SUCCESS",17,4052,NA
0.5,3,950780,"SUCCESS",17,4130,NA
0.5,30,950807,"SUCCESS",17,4113,NA
0.5,31,950808,"SUCCESS",16,4064,NA
0.5,32,950809,"SUCCESS",17,4077,NA
0.5,33,950810,"SUCCESS",16,4096,NA
0.5,34,950811,"SUCCESS",18,4016,NA
0.5,35,950812,"SUCCESS",16,4077,NA
0.5,36,950813,"SUCCESS",17,4080,NA
0.5,37,950814,"SUCCESS",18,4089,NA
0.5,38,950815,"SUCCESS",17,4160,NA
0.5,39,950816,"SUCCESS",18,4123,NA
0.5,4,950781,"SUCCESS",18,4151,NA
0.5,40,950817,"SUCCESS",22,4085,NA
0.5,41,950818,"SUCCESS",17,4194,NA
0.5,42,950819,"SUCCESS",18,4102,NA
0.5,43,950820,"SUCCESS",16,4119,NA
0.5,44,950821,"SUCCESS",18,4129,NA
0.5,45,950822,"SUCCESS",18,4090,NA
0.5,46,950823,"SUCCESS",20,4065,NA
0.5,47,950824,"SUCCESS",17,4110,NA
0.5,48,950825,"SUCCESS",20,4090,NA
0.5,49,950826,"SUCCESS",16,4072,NA
0.5,5,950782,"SUCCESS",17,4121,NA
0.5,50,950827,"SUCCESS",19,4154,NA
0.5,51,950828,"SUCCESS",19,4061,NA
0.5,52,950829,"SUCCESS",17,4116,NA
0.5,53,950830,"SUCCESS",17,4075,NA
0.5,54,950831,"SUCCESS",17,4101,NA
0.5,55,950832,"SUCCESS",18,4115,NA
0.5,56,950833,"SUCCESS",16,4038,NA
0.5,57,950834,"SUCCESS",16,4144,NA
0.5,58,950835,"SUCCESS",16,4132,NA
0.5,59,950836,"SUCCESS",17,4082,NA
0.5,6,950783,"SUCCESS",17,4077,NA
0.5,60,950837,"SUCCESS",19,4178,NA
0.5,61,950838,"SUCCESS",21,4111,NA
0.5,62,950839,"SUCCESS",16,4093,NA
0.5,63,950840,"SUCCESS",17,4082,NA
0.5,64,950841,"SUCCESS",19,4053,NA
0.5,65,950842,"SUCCESS",17,4138,NA
0.5,66,950843,"SUCCESS",16,4066,NA
0.5,67,950844,"SUCCESS",17,4124,NA
0.5,68,950845,"SUCCESS",17,4126,NA
0.5,69,950846,"SUCCESS",18,4058,NA
0.5,7,950784,"SUCCESS",20,4091,NA
0.5,70,950847,"SUCCESS",18,4114,NA
0.5,71,950848,"SUCCESS",17,4111,NA
0.5,72,950849,"SUCCESS",15,4180,NA
0.5,73,950850,"SUCCESS",16,4072,NA
0.5,74,950851,"SUCCESS",17,3998,NA
0.5,75,950852,"SUCCESS",19,4108,NA
0.5,76,950853,"SUCCESS",19,4063,NA
0.5,77,950854,"SUCCESS",17,4134,NA
0.5,78,950855,"SUCCESS",16,4155,NA
0.5,79,950856,"SUCCESS",17,4126,NA
0.5,8,950785,"SUCCESS",16,4107,NA
0.5,80,950857,"SUCCESS",16,4035,NA
0.5,81,950858,"SUCCESS",17,4140,NA
0.5,82,950859,"SUCCESS",16,4110,NA
0.5,83,950860,"SUCCESS",19,4046,NA
0.5,84,950861,"SUCCESS",16,4068,NA
0.5,85,950862,"SUCCESS",18,4081,NA
0.5,86,950863,"SUCCESS",17,4143,NA
0.5,87,950864,"SUCCESS",16,4064,NA
0.5,88,950865,"SUCCESS",15,4075,NA
0.5,89,950866,"SUCCESS",18,4101,NA
0.5,9,950786,"SUCCESS",18,4133,NA
0.5,90,950867,"SUCCESS",16,4115,NA
0.5,91,950868,"SUCCESS",16,4116,NA
0.5,92,950869,"SUCCESS",15,4144,NA
0.5,93,950870,"SUCCESS",16,4089,NA
0.5,94,950871,"SUCCESS",18,4119,NA
0.5,95,950872,"SUCCESS",18,4101,NA
0.5,96,950873,"SUCCESS",15,4114,NA
0.5,97,950874,"SUCCESS",20,4157,NA
0.5,98,950875,"SUCCESS",18,4127,NA
0.5,99,950876,"SUCCESS",15,4060,NA
0.6,1,960778,"SUCCESS",18,3576,NA
0.6,10,960787,"SUCCESS",18,3639,NA
0.6,100,960877,"SUCCESS",16,3598,NA
0.6,11,960788,"SUCCESS",18,3551,NA
0.6,12,960789,"SUCCESS",20,3627,NA
0.6,13,960790,"SUCCESS",19,3582,NA
0.6,14,960791,"SUCCESS",19,3643,NA
0.6,15,960792,"SUCCESS",22,3675,NA
0.6,16,960793,"SUCCESS",20,3729,NA
0.6,17,960794,"SUCCESS",17,3661,NA
0.6,18,960795,"SUCCESS",21,3605,NA
0.6,19,960796,"SUCCESS",20,3664,NA
0.6,2,960779,"SUCCESS",19,3570,NA
0.6,20,960797,"SUCCESS",17,3622,NA
0.6,21,960798,"SUCCESS",16,3544,NA
0.6,22,960799,"SUCCESS",19,3645,NA
0.6,23,960800,"SUCCESS",18,3618,NA
0.6,24,960801,"SUCCESS",23,3638,NA
0.6,25,960802,"SUCCESS",17,3645,NA
0.6,26,960803,"SUCCESS",20,3591,NA
0.6,27,960804,"SUCCESS",18,3571,NA
0.6,28,960805,"SUCCESS",16,3572,NA
0.6,29,960806,"SUCCESS",16,3685,NA
0.6,3,960780,"SUCCESS",23,3500,NA
0.6,30,960807,"SUCCESS",21,3608,NA
0.6,31,960808,"SUCCESS",19,3687,NA
0.6,32,960809,"SUCCESS",18,3636,NA
0.6,33,960810,"SUCCESS",18,3570,NA
0.6,34,960811,"SUCCESS",20,3600,NA
0.6,35,960812,"SUCCESS",20,3538,NA
0.6,36,960813,"SUCCESS",17,3597,NA
0.6,37,960814,"SUCCESS",16,3605,NA
0.6,38,960815,"SUCCESS",21,3640,NA
0.6,39,960816,"SUCCESS",20,3618,NA
0.6,4,960781,"SUCCESS",21,3653,NA
0.6,40,960817,"SUCCESS",18,3627,NA
0.6,41,960818,"SUCCESS",21,3731,NA
0.6,42,960819,"SUCCESS",23,3590,NA
0.6,43,960820,"SUCCESS",21,3592,NA
0.6,44,960821,"SUCCESS",20,3630,NA
0.6,45,960822,"SUCCESS",18,3628,NA
0.6,46,960823,"SUCCESS",22,3637,NA
0.6,47,960824,"SUCCESS",20,3672,NA
0.6,48,960825,"SUCCESS",24,3603,NA
0.6,49,960826,"SUCCESS",22,3612,NA
0.6,5,960782,"SUCCESS",19,3662,NA
0.6,50,960827,"SUCCESS",17,3586,NA
0.6,51,960828,"SUCCESS",17,3621,NA
0.6,52,960829,"SUCCESS",18,3598,NA
0.6,53,960830,"SUCCESS",17,3475,NA
0.6,54,960831,"SUCCESS",18,3634,NA
0.6,55,960832,"SUCCESS",18,3615,NA
0.6,56,960833,"SUCCESS",15,3703,NA
