5951at33208a	SCAV.CM083644.1	11139269	11149464
13816at33208a	SCAV.CM083642.1	2368081	2385063
14776at33208a	SCAV.CM083641.1	4687733	4700975
16244at33208a	SCAV.CM083645.1	13872628	13900667
40200at33208a	SCAV.CM083645.1	4037392	4044150
45934at33208a	SCAV.CM083647.1	4230411	4244101
49474at33208a	SCAV.CM083640.1	18241915	18255869
50756at33208a	SCAV.CM083645.1	4167448	4174449
56573at33208a	SCAV.CM083640.1	19630733	19638118
57158at33208a	SCAV.CM083646.1	10969624	10974244
63697at33208a	SCAV.CM083641.1	4223022	4228830
64435at33208a	SCAV.CM083645.1	14041428	14045813
65302at33208a	SCAV.CM083643.1	6884636	6892182
75406at33208a	SCAV.CM083643.1	16672860	16679062
76852at33208a	SCAV.CM083640.1	804518	816092
84980at33208a	SCAV.CM083644.1	11886909	11891855
92367at33208a	SCAV.CM083642.1	2681201	2685967
99614at33208a	SCAV.CM083643.1	9876629	9892370
99987at33208a	SCAV.CM083641.1	4545636	4551412
102804at33208a	SCAV.CM083642.1	11083997	11090945
103854at33208a	SCAV.CM083647.1	2323636	2332248
107151at33208a	SCAV.CM083643.1	16098036	16102864
107574at33208a	SCAV.CM083647.1	5156804	5167449
108764at33208a	SCAV.CM083644.1	12210349	12212607
111746at33208a	SCAV.CM083642.1	6386764	6391995
114954at33208a	SCAV.CM083646.1	9422051	9425900
115878at33208a	SCAV.CM083643.1	3568451	3572504
118209at33208a	SCAV.CM083641.1	16036000	16042140
119252at33208a	SCAV.CM083646.1	11202796	11206085
119591at33208a	SCAV.CM083645.1	14876727	14884086
121127at33208a	SCAV.CM083641.1	2771415	2778478
123923at33208a	SCAV.CM083640.1	2178286	2182430
124302at33208a	SCAV.CM083640.1	17886537	17894345
127766at33208a	SCAV.CM083641.1	5793704	5800907
129179at33208a	SCAV.CM083642.1	1475733	1480148
130245at33208a	SCAV.CM083646.1	9199487	9205445
130256at33208a	SCAV.CM083641.1	8287399	8292384
