5951at33208a	MVUL.MV001	48874509	48898127
9639at33208a	MVUL.MV015	15673161	15690069
13816at33208a	MVUL.MV012	4937588	4952763
16244at33208a	MVUL.MV021	7558380	7774257
40200at33208a	MVUL.MV002	3099770	3103671
45934at33208a	MVUL.MV010	3200564	3241447
49474at33208a	MVUL.MV025	5060710	5089455
50756at33208a	MVUL.MV022	14980671	15005126
56573at33208a	MVUL.MV002	26242033	26262977
57158at33208a	MVUL.MV005	6988990	7011587
63697at33208a	MVUL.MV011	208252	220939
64435at33208a	MVUL.MV032	13071845	13085721
65302at33208a	MVUL.MV011	15493021	15510021
66018at33208a	MVUL.MV019	1896279	1914612
75406at33208a	MVUL.MV001	786625	797980
76852at33208a	MVUL.MV013	5962041	5979488
84980at33208a	MVUL.MV039	8024111	8029916
88053at33208a	MVUL.MV001	37761376	37780803
92367at33208a	MVUL.MV025	9181794	9197440
99614at33208a	MVUL.MV022	1289463	1308871
99987at33208a	MVUL.MV021	11264254	11289738
102804at33208a	MVUL.MV015	4916496	4932107
103854at33208a	MVUL.MV015	7190791	7211708
107151at33208a	MVUL.MV032	164387	171511
107574at33208a	MVUL.MV007	14246314	14265090
108764at33208a	MVUL.MV001	48867936	48870485
109109at33208a	MVUL.MV012	9545731	9564734
111730at33208a	MVUL.MV017	15850303	15859086
111746at33208a	MVUL.MV007	442518	453325
114954at33208a	MVUL.MV005	7368901	7378654
115878at33208a	MVUL.MV037	3271655	3280398
119252at33208a	MVUL.MV027	8485684	8506415
119591at33208a	MVUL.MV032	2203694	2233387
121127at33208a	MVUL.MV034	10427822	10453731
123923at33208a	MVUL.MV004	10280940	10288244
124302at33208a	MVUL.MV029	5755372	5767825
127766at33208a	MVUL.MV002	16696678	16709481
129179at33208a	MVUL.MV019	7044666	7058596
130245at33208a	MVUL.MV005	21419713	21432793
130256at33208a	MVUL.MV041	3526922	3542672
131349at33208a	MVUL.MV038	9253004	9274423
132087at33208a	MVUL.MV030	1403475	1429895
134492at33208a	MVUL.MV026	9656030	9673082
135294at33208a	MVUL.MV020	14407805	14431755
137383at33208a	MVUL.MV016	3957325	3969329
139188at33208a	MVUL.MV008	11703952	11718995
143619at33208a	MVUL.MV006	15487936	15494993
143997at33208a	MVUL.MV001	16701227	16713782
146671at33208a	MVUL.MV008	14671695	14693361
147873at33208a	MVUL.MV028	6708358	6727763
148067at33208a	MVUL.MV013	15725286	15758452
148325at33208a	MVUL.MV030	9870980	9877298
152327at33208a	MVUL.MV025	9906392	9918417
152977at33208a	MVUL.MV034	12020296	12030932
153034at33208a	MVUL.MV002	545933	557895
157109at33208a	MVUL.MV010	1400646	1411260
158845at33208a	MVUL.MV017	15837210	15846811
158962at33208a	MVUL.MV031	13538383	13545899
162821at33208a	MVUL.MV013	10297309	10299174
164767at33208a	MVUL.MV034	12307841	12322953
166097at33208a	MVUL.MV008	14061215	14071692
168850at33208a	MVUL.MV041	50182	58692
168924at33208a	MVUL.MV009	15616198	15618888
169864at33208a	MVUL.MV005	20309957	20317892
172677at33208a	MVUL.MV004	1852599	1861790
176247at33208a	MVUL.MV001	43914956	43922352
177718at33208a	MVUL.MV029	3676939	3682055
178537at33208a	MVUL.MV027	8512761	8522358
180808at33208a	MVUL.MV006	20198028	20204544
182834at33208a	MVUL.MV018	1324385	1326763
184508at33208a	MVUL.MV014	4418890	4437713
184717at33208a	MVUL.MV026	5092808	5099390
186208at33208a	MVUL.MV026	105723	119046
186707at33208a	MVUL.MV013	4753808	4767437
187280at33208a	MVUL.MV002	28617442	28627691
189414at33208a	MVUL.MV007	3735567	3743038
190726at33208a	MVUL.MV013	231975	240145
191938at33208a	MVUL.MV007	13288670	13301844
192250at33208a	MVUL.MV004	17258887	17328560
194754at33208a	MVUL.MV022	5206728	5225447
195986at33208a	MVUL.MV025	9199262	9209503
196950at33208a	MVUL.MV020	15220274	15226536
197549at33208a	MVUL.MV003	13709119	13722019
197652at33208a	MVUL.MV036	12104542	12110670
200997at33208a	MVUL.MV009	16461297	16467321
201397at33208a	MVUL.MV014	702491	710470
203128at33208a	MVUL.MV010	15162556	15167756
203698at33208a	MVUL.MV027	13295201	13307214
205220at33208a	MVUL.MV016	5853374	5867395
206786at33208a	MVUL.MV006	2652897	2677447
206858at33208a	MVUL.MV001	33882597	33896578
207599at33208a	MVUL.MV017	13198674	13203498
208219at33208a	MVUL.MV026	10329181	10330857
210614at33208a	MVUL.MV002	572577	588108
212972at33208a	MVUL.MV010	11443425	11452945
214788at33208a	MVUL.MV029	13784341	13792596
215654at33208a	MVUL.MV023	14925532	14931303
216257at33208a	MVUL.MV011	7669543	7777020
216563at33208a	MVUL.MV034	3734692	3751049
218441at33208a	MVUL.MV003	21492275	21493915
219795at33208a	MVUL.MV028	10456556	10494005
219856at33208a	MVUL.MV036	12720596	12726794
222489at33208a	MVUL.MV034	7249065	7279879
223234at33208a	MVUL.MV019	7149043	7158370
224280at33208a	MVUL.MV041	6154877	6164584
226335at33208a	MVUL.MV012	1121432	1132339
227087at33208a	MVUL.MV011	6403944	6430044
227453at33208a	MVUL.MV027	591373	597203
227979at33208a	MVUL.MV014	2304428	2315662
231157at33208a	MVUL.MV015	110109	117928
231700at33208a	MVUL.MV008	16590125	16598041
235149at33208a	MVUL.MV019	4301295	4313119
235430at33208a	MVUL.MV027	8332916	8341527
235458at33208a	MVUL.MV013	3911367	3927261
239016at33208a	MVUL.MV037	6163135	6177690
239149at33208a	MVUL.MV023	1877818	1881668
240437at33208a	MVUL.MV001	35853842	35860685
244863at33208a	MVUL.MV001	3714795	3724046
245482at33208a	MVUL.MV036	10294292	10299606
245567at33208a	MVUL.MV002	3117161	3132390
246241at33208a	MVUL.MV003	21630900	21637433
247183at33208a	MVUL.MV032	13572190	13582723
247905at33208a	MVUL.MV008	11219142	11237693
249486at33208a	MVUL.MV022	10559928	10632680
251076at33208a	MVUL.MV035	1081698	1088626
251577at33208a	MVUL.MV001	7720028	7727016
255117at33208a	MVUL.MV001	1302110	1313639
255242at33208a	MVUL.MV006	1608301	1615680
255924at33208a	MVUL.MV001	37284984	37296451
260752at33208a	MVUL.MV035	2970749	2984153
261284at33208a	MVUL.MV007	18780462	18790170
262757at33208a	MVUL.MV003	16604847	16606427
266469at33208a	MVUL.MV007	9086784	9105619
266808at33208a	MVUL.MV038	9973768	9977960
267439at33208a	MVUL.MV010	10988564	10997878
268134at33208a	MVUL.MV003	13669818	13680741
268397at33208a	MVUL.MV038	1434308	1450075
270594at33208a	MVUL.MV008	14770968	14783362
271297at33208a	MVUL.MV036	442123	446848
271742at33208a	MVUL.MV023	2750070	2758617
272605at33208a	MVUL.MV017	7522290	7524324
273040at33208a	MVUL.MV001	17270754	17281398
273367at33208a	MVUL.MV012	1631090	1635531
273989at33208a	MVUL.MV019	15943394	15951646
274044at33208a	MVUL.MV009	16756924	16765573
274064at33208a	MVUL.MV009	14506746	14514084
274769at33208a	MVUL.MV003	24423930	24424716
277935at33208a	MVUL.MV016	2623781	2652862
278227at33208a	MVUL.MV008	7077065	7094797
279631at33208a	MVUL.MV002	18312342	18328367
279992at33208a	MVUL.MV026	11414632	11430090
281304at33208a	MVUL.MV031	10216733	10223294
281693at33208a	MVUL.MV039	7168211	7180235
284059at33208a	MVUL.MV024	1213285	1222540
285146at33208a	MVUL.MV018	3334490	3346233
285902at33208a	MVUL.MV001	48710913	48718732
285966at33208a	MVUL.MV036	10230911	10232737
286553at33208a	MVUL.MV038	10821810	10828485
289235at33208a	MVUL.MV025	5581211	5584208
289928at33208a	MVUL.MV034	1613943	1625461
291875at33208a	MVUL.MV010	10484503	10490667
295556at33208a	MVUL.MV004	4351557	4365434
295775at33208a	MVUL.MV005	6008654	6011767
300303at33208a	MVUL.MV013	8028257	8039417
301572at33208a	MVUL.MV014	5677972	5685151
302186at33208a	MVUL.MV031	9735252	9754316
302279at33208a	MVUL.MV036	3362055	3363119
302921at33208a	MVUL.MV010	6754093	6758061
303117at33208a	MVUL.MV003	20516145	20524190
304388at33208a	MVUL.MV006	14574436	14575611
305260at33208a	MVUL.MV039	9415895	9425050
306101at33208a	MVUL.MV004	4126469	4149429
307109at33208a	MVUL.MV002	28564319	28569904
308610at33208a	MVUL.MV006	20353119	20357324
311438at33208a	MVUL.MV004	6377244	6393630
311758at33208a	MVUL.MV021	4363407	4378744
311761at33208a	MVUL.MV026	759831	774127
312577at33208a	MVUL.MV040	11045846	11050969
313091at33208a	MVUL.MV018	9654043	9691033
315044at33208a	MVUL.MV036	11950733	11957542
318532at33208a	MVUL.MV023	14951014	14955411
319574at33208a	MVUL.MV020	14913709	14919316
320390at33208a	MVUL.MV026	641954	652495
321332at33208a	MVUL.MV010	17887509	17894774
323399at33208a	MVUL.MV030	10700731	10707758
323473at33208a	MVUL.MV019	322492	325492
324249at33208a	MVUL.MV036	4455548	4456767
325183at33208a	MVUL.MV002	6382237	6392365
327301at33208a	MVUL.MV002	20446040	20451963
331112at33208a	MVUL.MV026	3685585	3697895
331186at33208a	MVUL.MV036	87910	106132
332870at33208a	MVUL.MV004	8658409	8660132
333062at33208a	MVUL.MV013	9850514	9855421
333800at33208a	MVUL.MV031	8311908	8330455
334272at33208a	MVUL.MV035	12612259	12618161
334331at33208a	MVUL.MV003	4495741	4503557
334336at33208a	MVUL.MV014	15229960	15249214
334342at33208a	MVUL.MV006	1780010	1791483
334820at33208a	MVUL.MV001	33512887	33517002
335107at33208a	MVUL.MV012	2912506	2925714
336647at33208a	MVUL.MV007	19588815	19597222
338191at33208a	MVUL.MV025	12173011	12181930
338482at33208a	MVUL.MV007	17395822	17402317
339127at33208a	MVUL.MV015	16168052	16172545
339319at33208a	MVUL.MV025	219068	224205
340558at33208a	MVUL.MV009	4112675	4120746
340577at33208a	MVUL.MV030	9490131	9499848
344346at33208a	MVUL.MV005	16701847	16704024
344442at33208a	MVUL.MV009	5047812	5054895
344581at33208a	MVUL.MV017	16296911	16301457
344611at33208a	MVUL.MV003	24184911	24188008
345099at33208a	MVUL.MV002	2164648	2179394
347600at33208a	MVUL.MV011	3098919	3103520
348544at33208a	MVUL.MV014	6369334	6376780
348761at33208a	MVUL.MV015	1615305	1619322
349064at33208a	MVUL.MV002	8103761	8177317
349627at33208a	MVUL.MV033	6603494	6605010
351226at33208a	MVUL.MV038	9436003	9451250
352600at33208a	MVUL.MV012	193884	196505
352854at33208a	MVUL.MV011	2478619	2488357
353286at33208a	MVUL.MV020	9928538	9937816
353768at33208a	MVUL.MV017	5971048	5981837
354949at33208a	MVUL.MV010	10130718	10132031
355210at33208a	MVUL.MV029	7368337	7395809
355739at33208a	MVUL.MV002	29798825	29803491
356175at33208a	MVUL.MV019	12408774	12415836
356503at33208a	MVUL.MV001	3326351	3333795
357580at33208a	MVUL.MV009	12152779	12156776
359075at33208a	MVUL.MV002	26067537	26102355
359324at33208a	MVUL.MV011	16381486	16384996
359369at33208a	MVUL.MV022	5237594	5246779
359532at33208a	MVUL.MV036	6615381	6625696
361100at33208a	MVUL.MV029	920442	925731
361203at33208a	MVUL.MV008	15087082	15094432
363634at33208a	MVUL.MV015	1420712	1425584
363840at33208a	MVUL.MV005	21342661	21345114
363851at33208a	MVUL.MV017	5187231	5193487
364383at33208a	MVUL.MV015	5070725	5075382
364694at33208a	MVUL.MV005	12854565	12863943
365323at33208a	MVUL.MV014	5035721	5042419
365561at33208a	MVUL.MV036	12346611	12348696
365691at33208a	MVUL.MV002	6870147	6877395
366124at33208a	MVUL.MV002	17867087	17869454
366814at33208a	MVUL.MV005	16262205	16262704
366936at33208a	MVUL.MV023	14011224	14021157
367493at33208a	MVUL.MV002	25260012	25264897
367551at33208a	MVUL.MV031	10063669	10073997
367596at33208a	MVUL.MV001	30521704	30548724
367957at33208a	MVUL.MV012	3695061	3700428
368565at33208a	MVUL.MV022	2409212	2417357
368875at33208a	MVUL.MV006	14067815	14068027
371241at33208a	MVUL.MV019	171687	187828
371297at33208a	MVUL.MV019	15912720	15918595
372257at33208a	MVUL.MV016	3177217	3181958
372707at33208a	MVUL.MV031	6952291	6962531
376982at33208a	MVUL.MV038	12132997	12136401
378033at33208a	MVUL.MV015	12494572	12528797
378316at33208a	MVUL.MV019	15729849	15742897
378768at33208a	MVUL.MV017	641014	645455
378913at33208a	MVUL.MV033	3438053	3444594
