5951at33208a	PCOS.OZ194476.1	1817461	1842571
9639at33208a	PCOS.OZ194473.1	45343010	45401135
13816at33208a	PCOS.OZ194480.1	14864013	14991920
14776at33208a	PCOS.OZ194477.1	6918346	6948401
16244at33208a	PCOS.OZ194483.1	1921022	1951614
40200at33208a	PCOS.OZ194479.1	3001682	3028476
49474at33208a	PCOS.OZ194483.1	19313815	19341965
50756at33208a	PCOS.OZ194479.1	22179882	22192200
56573at33208a	PCOS.OZ194474.1	2534869	2558785
57158at33208a	PCOS.OZ194489.1	110581	118237
63697at33208a	PCOS.OZ194487.1	9211722	9223429
64435at33208a	PCOS.OZ194483.1	3913802	3929637
65302at33208a	PCOS.OZ194475.1	8212583	8261866
66018at33208a	PCOS.OZ194478.1	26403381	26409506
75406at33208a	PCOS.OZ194478.1	363865	373144
76852at33208a	PCOS.OZ194482.1	16257442	16277969
84980at33208a	PCOS.OZ194485.1	1064206	1073542
88053at33208a	PCOS.OZ194475.1	236459	246641
99614at33208a	PCOS.OZ194480.1	10426140	10505659
99987at33208a	PCOS.OZ194477.1	12097068	12113183
102804at33208a	PCOS.OZ194478.1	22361169	22378208
103854at33208a	PCOS.OZ194473.1	8457160	8514133
107151at33208a	PCOS.OZ194475.1	11365628	11407945
107574at33208a	PCOS.OZ194473.1	8547641	8564472
108764at33208a	PCOS.OZ194487.1	4214155	4216548
109109at33208a	PCOS.OZ194478.1	25750798	25764875
111730at33208a	PCOS.OZ194485.1	69901	78380
111746at33208a	PCOS.OZ194475.1	28207730	28234143
114954at33208a	PCOS.OZ194489.1	10322725	10335370
118209at33208a	PCOS.OZ194488.1	2546777	2565859
119252at33208a	PCOS.OZ194479.1	19079745	19091344
119591at33208a	PCOS.OZ194483.1	4360756	4381968
121127at33208a	PCOS.OZ194477.1	5706838	5727298
123923at33208a	PCOS.OZ194482.1	20212580	20219967
124302at33208a	PCOS.OZ194474.1	32862575	32909032
127766at33208a	PCOS.OZ194486.1	7526168	7690957
129179at33208a	PCOS.OZ194475.1	31115189	31127923
130245at33208a	PCOS.OZ194476.1	34586118	34606036
130256at33208a	PCOS.OZ194486.1	4343	10316
131349at33208a	PCOS.OZ194475.1	33583383	33601621
131848at33208a	PCOS.OZ194487.1	2762907	2781314
132087at33208a	PCOS.OZ194473.1	52014127	52037554
134492at33208a	PCOS.OZ194474.1	25424372	25495094
135294at33208a	PCOS.OZ194475.1	36036869	36053872
137383at33208a	PCOS.OZ194489.1	48405	53909
139188at33208a	PCOS.OZ194472.1	7145035	7160483
143619at33208a	PCOS.OZ194479.1	17637004	17638770
143997at33208a	PCOS.OZ194480.1	8923363	8938029
146671at33208a	PCOS.OZ194477.1	10545236	10600170
147873at33208a	PCOS.OZ194475.1	32285449	32295789
148067at33208a	PCOS.OZ194476.1	15277869	15317151
148325at33208a	PCOS.OZ194480.1	16828837	16956068
152327at33208a	PCOS.OZ194477.1	6890533	6897777
152977at33208a	PCOS.OZ194477.1	10913509	10921353
153034at33208a	PCOS.OZ194486.1	1434688	1440263
157109at33208a	PCOS.OZ194477.1	24071008	24081122
158845at33208a	PCOS.OZ194485.1	198200	206511
158962at33208a	PCOS.OZ194473.1	52070417	52080493
162821at33208a	PCOS.OZ194480.1	7377936	7381098
164767at33208a	PCOS.OZ194485.1	283195	292512
166097at33208a	PCOS.OZ194475.1	27773770	27794532
168850at33208a	PCOS.OZ194476.1	34872650	34893589
168924at33208a	PCOS.OZ194474.1	36312796	36329893
