5951at33208a	BLOB.OX387246.1	12617299	12630312
13816at33208a	BLOB.OX387252.1	9846645	9869958
14776at33208a	BLOB.OX387254.1	2579131	2600701
16244at33208a	BLOB.OX387257.1	790061	828849
45934at33208a	BLOB.OX387247.1	1450506	1470301
49474at33208a	BLOB.OX387249.1	7113101	7137030
50756at33208a	BLOB.OX387256.1	3925884	3958479
56573at33208a	BLOB.OX387249.1	10378070	10389554
57158at33208a	BLOB.OX387258.1	5880073	5896968
63697at33208a	BLOB.OX387259.1	199995	208492
65302at33208a	BLOB.OX387250.1	1799561	1813987
66018at33208a	BLOB.OX387250.1	3537214	3544560
75406at33208a	BLOB.OX387251.1	10263955	10271125
76852at33208a	BLOB.OX387246.1	5355697	5376139
84980at33208a	BLOB.OX387260.1	826454	841802
88053at33208a	BLOB.OX387250.1	10527793	10541353
99614at33208a	BLOB.OX387252.1	694171	713857
102804at33208a	BLOB.OX387251.1	9481850	9491880
103854at33208a	BLOB.OX387247.1	2001100	2030012
107151at33208a	BLOB.OX387258.1	6722248	6731274
108764at33208a	BLOB.OX387259.1	2777255	2779884
109109at33208a	BLOB.OX387251.1	9616274	9620847
111730at33208a	BLOB.OX387254.1	7589078	7595462
115878at33208a	BLOB.OX387252.1	5713268	5721044
119252at33208a	BLOB.OX387256.1	2031189	2038978
119591at33208a	BLOB.OX387257.1	8569374	8584285
123923at33208a	BLOB.OX387258.1	3726672	3739239
124302at33208a	BLOB.OX387249.1	10043559	10058205
127766at33208a	BLOB.OX387253.1	7931500	7941900
129179at33208a	BLOB.OX387250.1	5866020	5870006
130245at33208a	BLOB.OX387258.1	7577964	7586331
130256at33208a	BLOB.OX387256.1	8253770	8261597
131349at33208a	BLOB.OX387250.1	6780698	6790003
131848at33208a	BLOB.OX387259.1	854870	862187
134492at33208a	BLOB.OX387249.1	3264462	3276557
135294at33208a	BLOB.OX387250.1	2059477	2069854
139188at33208a	BLOB.OX387248.1	10730974	10740014
143619at33208a	BLOB.OX387256.1	6026031	6027803
143997at33208a	BLOB.OX387252.1	1539072	1547546
146671at33208a	BLOB.OX387254.1	2846731	2858947
147873at33208a	BLOB.OX387250.1	10234581	10239518
148067at33208a	BLOB.OX387246.1	3735232	3748692
148325at33208a	BLOB.OX387252.1	7575073	7581754
152327at33208a	BLOB.OX387254.1	6764281	6770691
152977at33208a	BLOB.OX387254.1	9441663	9448714
153034at33208a	BLOB.OX387253.1	7211681	7220556
157109at33208a	BLOB.OX387254.1	7078748	7082023
158845at33208a	BLOB.OX387260.1	993975	1005960
158962at33208a	BLOB.OX387247.1	5148514	5157354
162821at33208a	BLOB.OX387252.1	7700828	7704587
164767at33208a	BLOB.OX387260.1	984491	993554
166097at33208a	BLOB.OX387250.1	5622215	5633759
168850at33208a	BLOB.OX387246.1	13702497	13710721
168924at33208a	BLOB.OX387249.1	5430706	5443012
169864at33208a	BLOB.OX387246.1	12997227	13004931
172677at33208a	BLOB.OX387257.1	5281395	5287016
177718at33208a	BLOB.OX387247.1	5829296	5831127
177858at33208a	BLOB.OX387246.1	2918631	2934715
178537at33208a	BLOB.OX387252.1	5358778	5365772
179485at33208a	BLOB.OX387259.1	1141977	1149273
180808at33208a	BLOB.OX387259.1	3426439	3436754
182834at33208a	BLOB.OX387248.1	12301090	12303390
184508at33208a	BLOB.OX387247.1	7949941	7954806
184717at33208a	BLOB.OX387249.1	6507971	6514141
186208at33208a	BLOB.OX387257.1	6025314	6038146
186707at33208a	BLOB.OX387262.1	2896206	2915045
187280at33208a	BLOB.OX387250.1	2127518	2135836
189414at33208a	BLOB.OX387251.1	10088050	10094716
190726at33208a	BLOB.OX387262.1	1205392	1217935
192250at33208a	BLOB.OX387249.1	6924614	6929570
194754at33208a	BLOB.OX387256.1	204134	216919
195986at33208a	BLOB.OX387247.1	650068	654386
196950at33208a	BLOB.OX387259.1	166619	176813
197549at33208a	BLOB.OX387249.1	2607832	2618284
197652at33208a	BLOB.OX387253.1	4968045	4969586
200997at33208a	BLOB.OX387251.1	9770980	9776464
201397at33208a	BLOB.OX387247.1	2446645	2458046
202545at33208a	BLOB.OX387249.1	5522377	5525804
203128at33208a	BLOB.OX387247.1	1964807	1968688
206786at33208a	BLOB.OX387247.1	1289653	1301932
208219at33208a	BLOB.OX387247.1	9103086	9109167
210614at33208a	BLOB.OX387253.1	5301450	5313127
212972at33208a	BLOB.OX387254.1	3617409	3624170
214788at33208a	BLOB.OX387254.1	5728171	5737039
215654at33208a	BLOB.OX387255.1	5815903	5820481
216257at33208a	BLOB.OX387248.1	928737	940496
216563at33208a	BLOB.OX387261.1	5679503	5683468
218441at33208a	BLOB.OX387251.1	791722	794560
219795at33208a	BLOB.OX387246.1	7271492	7277033
219856at33208a	BLOB.OX387248.1	691972	696643
222489at33208a	BLOB.OX387249.1	1626866	1628393
226335at33208a	BLOB.OX387258.1	6618792	6628382
226941at33208a	BLOB.OX387256.1	249366	256945
227087at33208a	BLOB.OX387262.1	4577585	4593303
227453at33208a	BLOB.OX387256.1	1250885	1259082
227979at33208a	BLOB.OX387247.1	11118011	11125798
231157at33208a	BLOB.OX387249.1	6543146	6549592
234290at33208a	BLOB.OX387249.1	10212541	10218595
235149at33208a	BLOB.OX387250.1	11277955	11283329
235430at33208a	BLOB.OX387256.1	7249743	7253691
239016at33208a	BLOB.OX387254.1	2831165	2838382
239597at33208a	BLOB.OX387247.1	6994224	6996317
240437at33208a	BLOB.OX387248.1	6201804	6205268
245482at33208a	BLOB.OX387247.1	12515216	12520651
245567at33208a	BLOB.OX387256.1	1172734	1181337
246241at33208a	BLOB.OX387253.1	1075940	1079035
247183at33208a	BLOB.OX387252.1	5959145	5962541
247905at33208a	BLOB.OX387250.1	6174283	6177849
249486at33208a	BLOB.OX387256.1	5030188	5047911
251076at33208a	BLOB.OX387257.1	6200888	6211267
251577at33208a	BLOB.OX387257.1	8259356	8265000
255242at33208a	BLOB.OX387249.1	6364051	6367583
255924at33208a	BLOB.OX387250.1	1753982	1762653
257339at33208a	BLOB.OX387248.1	9405534	9406850
260752at33208a	BLOB.OX387246.1	1627351	1633498
261284at33208a	BLOB.OX387247.1	515554	531054
261614at33208a	BLOB.OX387256.1	7151828	7159252
